"Nid","Photo Point ID","Date","Image"
"3963","3666","Wed, 2012-03-14","sites/streamwebs.org/files/images/img_1736.jpg"
"3964","3667","Wed, 2012-03-14","sites/streamwebs.org/files/images/img_1737.jpg"
"3965","3668","Wed, 2012-03-14","sites/streamwebs.org/files/images/img_1741.jpg"
"3966","3669","Wed, 2012-03-14","sites/streamwebs.org/files/images/img_1739.jpg"
"3967","3670","Wed, 2012-03-14","sites/streamwebs.org/files/images/img_1740.jpg"
"3973","3972","Sun, 2012-01-01","sites/streamwebs.org/files/images/talltrees2.jpg"
"3990","1813","Wed, 2011-11-16","sites/streamwebs.org/files/images/bosco_2005_oct_a.jpg"
"4043","3892","Fri, 2012-05-04","sites/streamwebs.org/files/images/100_00971.jpg"
"4044","3868","Fri, 2012-05-04","sites/streamwebs.org/files/images/108_1575.jpg"
"4045","3874","Fri, 2012-05-04","sites/streamwebs.org/files/images/108_1579.jpg"
"4048","3877","Fri, 2012-05-04","sites/streamwebs.org/files/images/108_1577.jpg"
"4049","3881","Fri, 2012-05-04","sites/streamwebs.org/files/images/108_1581.jpg"
"4077","3912","Thu, 2012-05-10","sites/streamwebs.org/files/images/site_1-a1_2.jpg"
"4078","3914","Thu, 2012-05-10","sites/streamwebs.org/files/images/site_1-a2_2.jpg"
"4079","3916","Thu, 2012-05-10","sites/streamwebs.org/files/images/site_1-a3.jpg"
"4088","4084","Wed, 2008-06-18","sites/streamwebs.org/files/images/site_3_pt._a1__6-18-08.jpg"
"4089","4086","Wed, 2008-06-18","sites/streamwebs.org/files/images/site_3_pt._a2__6-18-08.jpg"
"4091","4090","Wed, 2008-06-18","sites/streamwebs.org/files/images/site_3_pt._a3__6-18-08.jpg"
"4157","4086","Thu, 2012-05-10","sites/streamwebs.org/files/images/site_3-a1.jpg"
"4158","4090","Thu, 2012-05-10","sites/streamwebs.org/files/images/site_3-a3_2.jpg"
"4167","4165","Thu, 2012-05-10","sites/streamwebs.org/files/images/site_3-a3.jpg"
"4173","4084","Thu, 2008-12-18","sites/streamwebs.org/files/images/site3_a1_12-18-08.jpg"
"4175","4086","Thu, 2008-12-18","sites/streamwebs.org/files/images/site3_a2_12-18-08.jpg"
"4179","4090","Thu, 2008-12-18","sites/streamwebs.org/files/images/site3_a3_12-18-08.jpg"
"4180","4084","Fri, 2009-08-21","sites/streamwebs.org/files/images/site3_a1_08-21-09.jpg"
"4187","4086","Fri, 2009-08-21","sites/streamwebs.org/files/images/site3_a2_08-21-09.jpg"
"4194","4090","Fri, 2009-08-21","sites/streamwebs.org/files/images/site3_a3_08-21-09.jpg"
"4314","4313","Tue, 2012-08-07","sites/streamwebs.org/files/images/summer_2012_017.jpg"
"4320","4318","Wed, 2012-08-08","sites/streamwebs.org/files/images/summer_2012_036.jpg"
"4334","4333","Wed, 2012-08-29","sites/streamwebs.org/files/images/dsc_0001.jpg"
"4336","4335","Wed, 2012-08-29","sites/streamwebs.org/files/images/dsc_0002.jpg"
"4344","3896","Fri, 2012-05-04","sites/streamwebs.org/files/images/100_00931_0.jpg"
"4360","4359","Fri, 2012-09-21","sites/streamwebs.org/files/images/sunp0002.jpg"
"4362","4361","Fri, 2012-09-21","sites/streamwebs.org/files/images/sunp0003.jpg"
"4364","4363","Fri, 2012-09-21","sites/streamwebs.org/files/images/sunp0004.jpg"
"4367","4366","Fri, 2012-09-21","sites/streamwebs.org/files/images/108_1624.jpg"
"4369","4368","Fri, 2012-09-21","sites/streamwebs.org/files/images/108_1626.jpg"
"4371","4370","Fri, 2012-09-21","sites/streamwebs.org/files/images/108_1627_0.jpg"
"4374","4373","Fri, 2012-09-21","sites/streamwebs.org/files/images/sunp0002_0.jpg"
"4376","4375","Fri, 2012-09-21","sites/streamwebs.org/files/images/sunp0003_0.jpg"
"4378","4377","Fri, 2012-09-21","sites/streamwebs.org/files/images/sunp0004_0.jpg"
"4381","4380","Wed, 2012-09-12","sites/streamwebs.org/files/images/imgp0164.jpg"
"4383","4382","Wed, 2012-09-12","sites/streamwebs.org/files/images/imgp0165.jpg"
"4385","4384","Wed, 2012-09-12","sites/streamwebs.org/files/images/imgp0166.jpg"
"4390","4387","Fri, 2012-09-21","sites/streamwebs.org/files/images/img_2634.jpg"
"4391","4388","Fri, 2012-09-21","sites/streamwebs.org/files/images/img_2635.jpg"
"4392","4389","Fri, 2012-09-21","sites/streamwebs.org/files/images/img_2636.jpg"
"4393","3868","Fri, 2012-09-21","sites/streamwebs.org/files/images/190.jpg"
"4394","3874","Fri, 2012-09-21","sites/streamwebs.org/files/images/192.jpg"
"4395","3877","Fri, 2012-09-21","sites/streamwebs.org/files/images/195.jpg"
"4396","3881","Fri, 2012-09-21","sites/streamwebs.org/files/images/197.jpg"
"4397","3892","Fri, 2012-09-21","sites/streamwebs.org/files/images/199_0.jpg"
"4398","3896","Fri, 2012-09-21","sites/streamwebs.org/files/images/200.jpg"
"4400","4399","Fri, 2012-09-21","sites/streamwebs.org/files/images/202.jpg"
"4493","4492","Thu, 2008-10-02","sites/streamwebs.org/files/images/enterprise_hi_strm_monitoring_ds_view_lower_end_survey_10-2-2008.jpg"
"4494","4492","Tue, 2009-04-14","sites/streamwebs.org/files/images/wet-ent_sch_6th_prairie_ck_ds_view_from_lower_end_survey_4-14-2009.jpg"
"4495","4492","Tue, 2010-11-02","sites/streamwebs.org/files/images/wet_ent_hi_ds_view_lower_end_survey_prairie_ck_11-2-2010_00.jpg"
"4496","4492","Tue, 2011-11-08","sites/streamwebs.org/files/images/wet_ent_hs_ds_view_up_lower_end_survey_prairie_creek_11082011_3.jpg"
"4498","4497","Thu, 2008-10-02","sites/streamwebs.org/files/images/enterprise_hi_strm_monitoring_us_view_lower_end_survey_10-2-2008.jpg"
"4499","4497","Tue, 2009-04-14","sites/streamwebs.org/files/images/wet-ent_sch_6th_prairie_ck_us_view_from_lower_end_survey_4-14-2009.jpg"
"4500","4497","Tue, 2010-11-02","sites/streamwebs.org/files/images/wet_ent_hi_us_view_lower_end_survey_prairie_ck_11-2-2010_002.jpg"
"4501","4497","Tue, 2011-11-08","sites/streamwebs.org/files/images/wet_ent_hs_us_view_up_lower_end_survey_prairie_creek_11082011_4.jpg"
"4502","4492","Wed, 2012-10-24","sites/streamwebs.org/files/images/wet_ent_6th_prairie_ck_ds_view_from_lower_end_survey_10242012.jpg"
"4503","4497","Wed, 2012-10-24","sites/streamwebs.org/files/images/wet_ent_6th_prairie_ck_us_view_from_lower_end_survey_10242012.jpg"
"4506","4505","Wed, 2008-04-09","sites/streamwebs.org/files/images/wet_ent_hi_prairie_crk_ds_view_from_upperend_monitoring_segment_4-7-08_010.jpg"
"4507","4505","Sun, 2009-03-15","sites/streamwebs.org/files/images/wet_ent_hi_ds_view_upper_end_survey_prairie_ck_3-15-2009.jpg"
"4508","4505","Tue, 2010-11-02","sites/streamwebs.org/files/images/wet_ent_hi_ds_view_upper_end_survey_prairie_ck_11-2-2010_00.jpg"
"4509","4505","Tue, 2011-11-08","sites/streamwebs.org/files/images/wet_ent_hs_ds_view_up_upper_end_survey_prairie_creek_11082011_1.jpg"
"4510","4505","Wed, 2012-10-24","sites/streamwebs.org/files/images/wet_ent_6th_prairie_ck_ds_view_upper_end_survey_10242012_1.jpg"
"4512","4511","Fri, 2012-11-02","sites/streamwebs.org/files/images/wet_ent_hi_us_view_upper_end_survey_prairie_ck_11-2-2010_00.jpg"
"4513","4511","Tue, 2011-11-08","sites/streamwebs.org/files/images/wet_ent_hs_us_view_up_upper_end_survey_prairie_creek_11082011_2.jpg"
"4514","4511","Wed, 2012-10-24","sites/streamwebs.org/files/images/wet_ent_6th_prairie_ck_us_view_upper_end_survey_10242012.jpg"
"4525","4524","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_001.jpg"
"4527","4526","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_002.jpg"
"4529","4528","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_004.jpg"
"4535","4532","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_008.jpg"
"4538","4536","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_015.jpg"
"4539","4536","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_015_0.jpg"
"4541","4540","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_008_0.jpg"
"4543","4542","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_018.jpg"
"4656","4653","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_001_0.jpg"
"4657","4654","Wed, 2012-10-10","sites/streamwebs.org/files/images/photo_points_2012_002_0.jpg"
"4661","4524","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_103.jpg"
"4662","4526","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_102.jpg"
"4663","4528","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_105.jpg"
"4664","4532","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_107.jpg"
"4665","4536","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_110.jpg"
"4666","4540","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_111.jpg"
"4667","4542","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_112.jpg"
"4668","4658","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_115.jpg"
"4669","4659","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_120.jpg"
"4670","4660","Wed, 2012-10-24","sites/streamwebs.org/files/images/photo_points_2012_121.jpg"
"4671","4524","Wed, 2012-11-07","sites/streamwebs.org/files/images/photo_points_2012_122.jpg"
"4672","4526","Wed, 2012-11-07","sites/streamwebs.org/files/images/photo_points_2012_123.jpg"
"4673","4528","Wed, 2012-11-07","sites/streamwebs.org/files/images/photo_points_2012_126.jpg"
"4674","4532","Wed, 2012-11-07","sites/streamwebs.org/files/images/photo_points_2012_127.jpg"
"4675","4536","Wed, 2012-11-07","sites/streamwebs.org/files/images/photo_points_2012_129.jpg"
"4676","4524","Wed, 2012-11-28","sites/streamwebs.org/files/images/photo_points_2012_174.jpg"
"4677","4526","Wed, 2012-11-28","sites/streamwebs.org/files/images/photo_points_2012_176.jpg"
"4678","4528","Wed, 2012-11-28","sites/streamwebs.org/files/images/photo_points_2012_178.jpg"
"4679","4532","Wed, 2012-11-28","sites/streamwebs.org/files/images/photo_points_2012_180.jpg"
"4680","4536","Wed, 2012-11-28","sites/streamwebs.org/files/images/photo_points_2012_181.jpg"
"4681","4540","Wed, 2012-11-28","sites/streamwebs.org/files/images/photo_points_2012_182.jpg"
"4682","4542","Wed, 2012-11-28","sites/streamwebs.org/files/images/photo_points_2012_187.jpg"
"4683","4659","Wed, 2012-11-28","sites/streamwebs.org/files/images/photo_points_2012_189.jpg"
"4684","4660","Wed, 2012-11-28","sites/streamwebs.org/files/images/photo_points_2012_191.jpg"
"4716","4715","Thu, 2013-01-24","sites/streamwebs.org/files/images/dscn7126.jpg"
"4718","4717","Thu, 2013-01-24","sites/streamwebs.org/files/images/dscn7127.jpg"
"4721","4720","Thu, 2013-01-24","sites/streamwebs.org/files/images/dscn7128.jpg"
"4735","4734","Thu, 2013-02-28","sites/streamwebs.org/files/images/dscn6947.jpg"
"4737","4736","Thu, 2013-02-28","sites/streamwebs.org/files/images/dscn6953.jpg"
"4739","4738","Thu, 2013-02-28","sites/streamwebs.org/files/images/dscn6959.jpg"
"4742","4741","Thu, 2013-02-28","sites/streamwebs.org/files/images/dscn6961.jpg"
"4744","4743","Thu, 2013-02-28","sites/streamwebs.org/files/images/dscn6965.jpg"
"4746","4745","Thu, 2013-02-28","sites/streamwebs.org/files/images/dscn6968.jpg"
"4814","4813","Wed, 2013-04-03","sites/streamwebs.org/files/images/dsc_1177.jpg"
"4815","4813","Fri, 2013-04-05","sites/streamwebs.org/files/images/dsc_1179.jpg"
"4817","4816","Fri, 2013-04-05","sites/streamwebs.org/files/images/dsc_1181.jpg"
"4818","4816","Fri, 2013-04-05","sites/streamwebs.org/files/images/dsc_1182.jpg"
"4820","4816","Fri, 2013-04-05","sites/streamwebs.org/files/images/dsc_1182_0.jpg"
"4826","4825","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_pt_1_a.jpg"
"4828","4825","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_pt_1_a.jpg"
"4829","4827","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_pt_2_a.jpg"
"4831","4830","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_pt_3_a.jpg"
"4838","4837","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_pt_b1_lower.jpg"
"4840","4839","Fri, 2013-04-19","sites/streamwebs.org/files/images/photo_pt_b_2_lower.jpg"
