"Fecal Coliform (CFU/100mL)","Type","Nid","Fecal Coliform (CFU/100mL) (field_fecal_coliform) - delta"
"","Data: Water Quality","3093","3"
"","Data: Water Quality","3129",""
"","Data: Water Quality","3129","1"
"","Data: Water Quality","3129","2"
"","Data: Water Quality","3129","3"
"","Data: Water Quality","3143",""
"","Data: Water Quality","3143","1"
"","Data: Water Quality","3143","2"
"","Data: Water Quality","3143","3"
"","Data: Water Quality","3144",""
"","Data: Water Quality","3144","1"
"","Data: Water Quality","3144","2"
"","Data: Water Quality","3144","3"
"","Data: Water Quality","3146",""
"","Data: Water Quality","3146","1"
"","Data: Water Quality","3146","2"
"","Data: Water Quality","3146","3"
"","Data: Water Quality","3210",""
"","Data: Water Quality","3210","1"
"","Data: Water Quality","3210","2"
"","Data: Water Quality","3210","3"
"","Data: Water Quality","3211",""
"","Data: Water Quality","3211","1"
"","Data: Water Quality","3211","2"
"","Data: Water Quality","3211","3"
"","Data: Water Quality","3249",""
"","Data: Water Quality","3249","1"
"","Data: Water Quality","3249","2"
"","Data: Water Quality","3249","3"
"","Data: Water Quality","3254",""
"","Data: Water Quality","3254","1"
"","Data: Water Quality","3254","2"
"","Data: Water Quality","3254","3"
"","Data: Water Quality","3256",""
"","Data: Water Quality","3256","1"
"","Data: Water Quality","3256","2"
"","Data: Water Quality","3256","3"
"","Data: Water Quality","3259",""
"","Data: Water Quality","3259","1"
"","Data: Water Quality","3259","2"
"","Data: Water Quality","3259","3"
"","Data: Water Quality","3260",""
"","Data: Water Quality","3260","1"
"","Data: Water Quality","3260","2"
"","Data: Water Quality","3260","3"
"","Data: Water Quality","3262",""
"","Data: Water Quality","3262","1"
"","Data: Water Quality","3262","2"
"","Data: Water Quality","3262","3"
"","Data: Water Quality","3305",""
"","Data: Water Quality","3305","1"
"","Data: Water Quality","3305","2"
"","Data: Water Quality","3305","3"
"","Data: Water Quality","3308",""
"","Data: Water Quality","3308","1"
"","Data: Water Quality","3308","2"
"","Data: Water Quality","3308","3"
"","Data: Water Quality","3313",""
"","Data: Water Quality","3313","1"
"","Data: Water Quality","3313","2"
"","Data: Water Quality","3313","3"
"","Data: Water Quality","3314",""
"","Data: Water Quality","3314","1"
"","Data: Water Quality","3314","2"
"","Data: Water Quality","3314","3"
"","Data: Water Quality","3315",""
"","Data: Water Quality","3315","1"
"","Data: Water Quality","3315","2"
"","Data: Water Quality","3315","3"
"","Data: Water Quality","3316",""
"","Data: Water Quality","3316","1"
"","Data: Water Quality","3316","2"
"","Data: Water Quality","3316","3"
"","Data: Water Quality","3317",""
"","Data: Water Quality","3317","1"
"","Data: Water Quality","3317","2"
"","Data: Water Quality","3317","3"
"","Data: Water Quality","3324",""
"","Data: Water Quality","3324","1"
"","Data: Water Quality","3324","2"
"","Data: Water Quality","3324","3"
"","Data: Water Quality","3325",""
"","Data: Water Quality","3325","1"
"","Data: Water Quality","3325","2"
"","Data: Water Quality","3325","3"
"","Data: Water Quality","3326",""
"","Data: Water Quality","3326","1"
"","Data: Water Quality","3326","2"
"","Data: Water Quality","3326","3"
"","Data: Water Quality","3327",""
"","Data: Water Quality","3327","1"
"","Data: Water Quality","3327","2"
"","Data: Water Quality","3327","3"
"","Data: Water Quality","3328",""
"","Data: Water Quality","3328","1"
"","Data: Water Quality","3328","2"
"","Data: Water Quality","3328","3"
"","Data: Water Quality","3329",""
"","Data: Water Quality","3329","1"
"","Data: Water Quality","3329","2"
"","Data: Water Quality","3329","3"
"","Data: Water Quality","3332",""
"","Data: Water Quality","3332","1"
"","Data: Water Quality","3332","2"
"","Data: Water Quality","3332","3"
"","Data: Water Quality","3333",""
"","Data: Water Quality","3333","1"
"","Data: Water Quality","3333","2"
"","Data: Water Quality","3333","3"
"","Data: Water Quality","3334",""
"","Data: Water Quality","3334","1"
"","Data: Water Quality","3334","2"
"","Data: Water Quality","3334","3"
"","Data: Water Quality","3335",""
"","Data: Water Quality","3335","1"
"","Data: Water Quality","3335","2"
"","Data: Water Quality","3335","3"
"","Data: Water Quality","3336",""
"","Data: Water Quality","3336","1"
"","Data: Water Quality","3336","2"
"","Data: Water Quality","3336","3"
"","Data: Water Quality","3337",""
"","Data: Water Quality","3337","1"
"","Data: Water Quality","3337","2"
"","Data: Water Quality","3337","3"
"","Data: Water Quality","3344",""
"","Data: Water Quality","3344","1"
"","Data: Water Quality","3344","2"
"","Data: Water Quality","3344","3"
"","Data: Water Quality","3347",""
"","Data: Water Quality","3347","1"
"","Data: Water Quality","3347","2"
"","Data: Water Quality","3347","3"
"","Data: Water Quality","3350",""
"","Data: Water Quality","3350","1"
"","Data: Water Quality","3350","2"
"","Data: Water Quality","3350","3"
"","Data: Water Quality","3353",""
"","Data: Water Quality","3353","1"
"","Data: Water Quality","3353","2"
"","Data: Water Quality","3353","3"
"","Data: Water Quality","3382",""
"","Data: Water Quality","3382","1"
"","Data: Water Quality","3382","2"
"","Data: Water Quality","3382","3"
