"pH","Type","Nid","pH (field_ph) - delta"
"8","Data: Water Quality","2783",""
"","Data: Water Quality","2783","1"
"","Data: Water Quality","2783","2"
"","Data: Water Quality","2783","3"
"8","Data: Water Quality","2784",""
"","Data: Water Quality","2784","1"
"","Data: Water Quality","2784","2"
"","Data: Water Quality","2784","3"
"8","Data: Water Quality","2785",""
"","Data: Water Quality","2785","1"
"","Data: Water Quality","2785","2"
"","Data: Water Quality","2785","3"
"8","Data: Water Quality","2791",""
"","Data: Water Quality","2791","1"
"","Data: Water Quality","2791","2"
"","Data: Water Quality","2791","3"
"7.5","Data: Water Quality","2794",""
"","Data: Water Quality","2794","1"
"","Data: Water Quality","2794","2"
"","Data: Water Quality","2794","3"
"8","Data: Water Quality","2795",""
"","Data: Water Quality","2795","1"
"","Data: Water Quality","2795","2"
"","Data: Water Quality","2795","3"
"8","Data: Water Quality","2796",""
"","Data: Water Quality","2796","1"
"","Data: Water Quality","2796","2"
"","Data: Water Quality","2796","3"
"8","Data: Water Quality","2818",""
"","Data: Water Quality","2818","1"
"","Data: Water Quality","2818","2"
"","Data: Water Quality","2818","3"
"8","Data: Water Quality","2819",""
"","Data: Water Quality","2819","1"
"","Data: Water Quality","2819","2"
"","Data: Water Quality","2819","3"
"8","Data: Water Quality","2820",""
"","Data: Water Quality","2820","1"
"","Data: Water Quality","2820","2"
"","Data: Water Quality","2820","3"
"8","Data: Water Quality","2821",""
"","Data: Water Quality","2821","1"
"","Data: Water Quality","2821","2"
"","Data: Water Quality","2821","3"
"","Data: Water Quality","2871",""
"","Data: Water Quality","2871","1"
"","Data: Water Quality","2871","2"
"","Data: Water Quality","2871","3"
"8","Data: Water Quality","2880",""
"","Data: Water Quality","2880","1"
"","Data: Water Quality","2880","2"
"","Data: Water Quality","2880","3"
"8","Data: Water Quality","2882",""
"","Data: Water Quality","2882","1"
"","Data: Water Quality","2882","2"
"","Data: Water Quality","2882","3"
"8","Data: Water Quality","2896",""
"8","Data: Water Quality","2896","1"
"","Data: Water Quality","2896","2"
"","Data: Water Quality","2896","3"
"6.8","Data: Water Quality","2908",""
"7.4","Data: Water Quality","2908","1"
"6","Data: Water Quality","2908","2"
"","Data: Water Quality","2908","3"
"8","Data: Water Quality","2909",""
"","Data: Water Quality","2909","1"
"","Data: Water Quality","2909","2"
"","Data: Water Quality","2909","3"
"7.7","Data: Water Quality","2925",""
"7.4","Data: Water Quality","2925","1"
"7.1","Data: Water Quality","2925","2"
"7.8","Data: Water Quality","2925","3"
"8","Data: Water Quality","2935",""
"","Data: Water Quality","2935","1"
"","Data: Water Quality","2935","2"
"","Data: Water Quality","2935","3"
"8","Data: Water Quality","2939",""
"","Data: Water Quality","2939","1"
"","Data: Water Quality","2939","2"
"","Data: Water Quality","2939","3"
"8.5","Data: Water Quality","2940",""
"","Data: Water Quality","2940","1"
"","Data: Water Quality","2940","2"
"","Data: Water Quality","2940","3"
"8","Data: Water Quality","2944",""
"","Data: Water Quality","2944","1"
"","Data: Water Quality","2944","2"
"","Data: Water Quality","2944","3"
"8","Data: Water Quality","2945",""
"","Data: Water Quality","2945","1"
"","Data: Water Quality","2945","2"
"","Data: Water Quality","2945","3"
"6","Data: Water Quality","2957",""
"6.5","Data: Water Quality","2957","1"
"6.5","Data: Water Quality","2957","2"
"","Data: Water Quality","2957","3"
"6","Data: Water Quality","2959",""
"6.5","Data: Water Quality","2959","1"
"6.5","Data: Water Quality","2959","2"
"","Data: Water Quality","2959","3"
"8","Data: Water Quality","2960",""
"","Data: Water Quality","2960","1"
"","Data: Water Quality","2960","2"
"","Data: Water Quality","2960","3"
"8","Data: Water Quality","2961",""
"","Data: Water Quality","2961","1"
"","Data: Water Quality","2961","2"
"","Data: Water Quality","2961","3"
"8","Data: Water Quality","2962",""
"","Data: Water Quality","2962","1"
"","Data: Water Quality","2962","2"
"","Data: Water Quality","2962","3"
"8","Data: Water Quality","2963",""
"","Data: Water Quality","2963","1"
"","Data: Water Quality","2963","2"
"","Data: Water Quality","2963","3"
"8","Data: Water Quality","2965",""
"","Data: Water Quality","2965","1"
"","Data: Water Quality","2965","2"
"","Data: Water Quality","2965","3"
"8","Data: Water Quality","2966",""
"","Data: Water Quality","2966","1"
"","Data: Water Quality","2966","2"
"","Data: Water Quality","2966","3"
"8","Data: Water Quality","2967",""
"","Data: Water Quality","2967","1"
"","Data: Water Quality","2967","2"
"","Data: Water Quality","2967","3"
"6","Data: Water Quality","2970",""
"6.5","Data: Water Quality","2970","1"
"6.5","Data: Water Quality","2970","2"
"","Data: Water Quality","2970","3"
"8","Data: Water Quality","2979",""
"","Data: Water Quality","2979","1"
"","Data: Water Quality","2979","2"
"","Data: Water Quality","2979","3"
"8","Data: Water Quality","2981",""
"","Data: Water Quality","2981","1"
"","Data: Water Quality","2981","2"
"","Data: Water Quality","2981","3"
"8","Data: Water Quality","2990",""
"","Data: Water Quality","2990","1"
"","Data: Water Quality","2990","2"
"","Data: Water Quality","2990","3"
"8","Data: Water Quality","2991",""
"","Data: Water Quality","2991","1"
"","Data: Water Quality","2991","2"
"","Data: Water Quality","2991","3"
"7.26","Data: Water Quality","3017",""
"7.08","Data: Water Quality","3017","1"
"7.02","Data: Water Quality","3017","2"
"7.38","Data: Water Quality","3017","3"
"6","Data: Water Quality","3043",""
"6.8","Data: Water Quality","3043","1"
"6.6","Data: Water Quality","3043","2"
"6.6","Data: Water Quality","3043","3"
"6.6","Data: Water Quality","3044",""
"6","Data: Water Quality","3044","1"
"6.8","Data: Water Quality","3044","2"
"7","Data: Water Quality","3044","3"
"6.8","Data: Water Quality","3045",""
"6.75","Data: Water Quality","3045","1"
"6.6875","Data: Water Quality","3045","2"
"","Data: Water Quality","3045","3"
"7.5","Data: Water Quality","3057",""
"8","Data: Water Quality","3057","1"
"8","Data: Water Quality","3057","2"
"7","Data: Water Quality","3057","3"
"6.9","Data: Water Quality","3063",""
"6.7","Data: Water Quality","3063","1"
"6","Data: Water Quality","3063","2"
"6","Data: Water Quality","3063","3"
"6.5","Data: Water Quality","3071",""
"6.5","Data: Water Quality","3071","1"
"6.5","Data: Water Quality","3071","2"
"6.5","Data: Water Quality","3071","3"
"6.8","Data: Water Quality","3085",""
"5.8","Data: Water Quality","3085","1"
"6.7","Data: Water Quality","3085","2"
"5.7","Data: Water Quality","3085","3"
"6.5","Data: Water Quality","3087",""
"5.75","Data: Water Quality","3087","1"
"5.75","Data: Water Quality","3087","2"
"6.4","Data: Water Quality","3087","3"
"6.5","Data: Water Quality","3093",""
"6.5","Data: Water Quality","3093","1"
"6.5","Data: Water Quality","3093","2"
"6.5","Data: Water Quality","3093","3"
"7","Data: Water Quality","3129",""
"7","Data: Water Quality","3129","1"
"","Data: Water Quality","3129","2"
"","Data: Water Quality","3129","3"
"","Data: Water Quality","3143",""
"","Data: Water Quality","3143","1"
"","Data: Water Quality","3143","2"
"","Data: Water Quality","3143","3"
"6.5","Data: Water Quality","3144",""
"6.2","Data: Water Quality","3144","1"
"6.7","Data: Water Quality","3144","2"
"","Data: Water Quality","3144","3"
"7","Data: Water Quality","3146",""
"6.5","Data: Water Quality","3146","1"
"6.8","Data: Water Quality","3146","2"
"7","Data: Water Quality","3146","3"
"5.9","Data: Water Quality","3210",""
"6.16","Data: Water Quality","3210","1"
"","Data: Water Quality","3210","2"
"","Data: Water Quality","3210","3"
"6.05","Data: Water Quality","3211",""
"6.38","Data: Water Quality","3211","1"
"","Data: Water Quality","3211","2"
"","Data: Water Quality","3211","3"
"7","Data: Water Quality","3249",""
"","Data: Water Quality","3249","1"
"","Data: Water Quality","3249","2"
"","Data: Water Quality","3249","3"
"7","Data: Water Quality","3254",""
"","Data: Water Quality","3254","1"
"","Data: Water Quality","3254","2"
"","Data: Water Quality","3254","3"
"6.8","Data: Water Quality","3256",""
"","Data: Water Quality","3256","1"
"","Data: Water Quality","3256","2"
"","Data: Water Quality","3256","3"
"7","Data: Water Quality","3259",""
"7","Data: Water Quality","3259","1"
"7","Data: Water Quality","3259","2"
"","Data: Water Quality","3259","3"
"6.5","Data: Water Quality","3260",""
"","Data: Water Quality","3260","1"
"","Data: Water Quality","3260","2"
"","Data: Water Quality","3260","3"
"7","Data: Water Quality","3262",""
"","Data: Water Quality","3262","1"
"","Data: Water Quality","3262","2"
"","Data: Water Quality","3262","3"
"6.7","Data: Water Quality","3305",""
"6.5","Data: Water Quality","3305","1"
"6.5","Data: Water Quality","3305","2"
"6.5","Data: Water Quality","3305","3"
"6.8","Data: Water Quality","3308",""
"6.7","Data: Water Quality","3308","1"
"6.8","Data: Water Quality","3308","2"
"6.8","Data: Water Quality","3308","3"
"5","Data: Water Quality","3313",""
"","Data: Water Quality","3313","1"
"","Data: Water Quality","3313","2"
"","Data: Water Quality","3313","3"
"5","Data: Water Quality","3314",""
"","Data: Water Quality","3314","1"
"","Data: Water Quality","3314","2"
"","Data: Water Quality","3314","3"
"5.5","Data: Water Quality","3315",""
"","Data: Water Quality","3315","1"
"","Data: Water Quality","3315","2"
"","Data: Water Quality","3315","3"
