"Water Temperature","Type","Nid","Delta"
"47.8","Data: Water Quality","3017",""
"47.9","Data: Water Quality","3017","1"
"48.3","Data: Water Quality","3017","2"
"48.5","Data: Water Quality","3017","3"
"48","Data: Water Quality","3043",""
"48","Data: Water Quality","3043","1"
"47.6","Data: Water Quality","3043","2"
"49","Data: Water Quality","3043","3"
"48.5","Data: Water Quality","3044",""
"49","Data: Water Quality","3044","1"
"48","Data: Water Quality","3044","2"
"47.8","Data: Water Quality","3044","3"
"39.5","Data: Water Quality","3045",""
"48.75","Data: Water Quality","3045","1"
"48","Data: Water Quality","3045","2"
"","Data: Water Quality","3045","3"
"43","Data: Water Quality","3057",""
"","Data: Water Quality","3057","1"
"","Data: Water Quality","3057","2"
"","Data: Water Quality","3057","3"
"39","Data: Water Quality","3063",""
"37.8","Data: Water Quality","3063","1"
"38.8","Data: Water Quality","3063","2"
"39.4","Data: Water Quality","3063","3"
"41","Data: Water Quality","3071",""
"40","Data: Water Quality","3071","1"
"40","Data: Water Quality","3071","2"
"40","Data: Water Quality","3071","3"
"2.3","Data: Water Quality","3085",""
"8.7","Data: Water Quality","3085","1"
"2.1","Data: Water Quality","3085","2"
"2.2","Data: Water Quality","3085","3"
"34.5","Data: Water Quality","3087",""
"36","Data: Water Quality","3087","1"
"35.06","Data: Water Quality","3087","2"
"35.8","Data: Water Quality","3087","3"
"40","Data: Water Quality","3093",""
"40","Data: Water Quality","3093","1"
"39","Data: Water Quality","3093","2"
"40","Data: Water Quality","3093","3"
"52","Data: Water Quality","3129",""
"51","Data: Water Quality","3129","1"
"52","Data: Water Quality","3129","2"
"52","Data: Water Quality","3129","3"
"45","Data: Water Quality","3143",""
"49","Data: Water Quality","3143","1"
"47","Data: Water Quality","3143","2"
"48","Data: Water Quality","3143","3"
"12.9","Data: Water Quality","3144",""
"13.5","Data: Water Quality","3144","1"
"13.5","Data: Water Quality","3144","2"
"","Data: Water Quality","3144","3"
"52","Data: Water Quality","3146",""
"52","Data: Water Quality","3146","1"
"51","Data: Water Quality","3146","2"
"52","Data: Water Quality","3146","3"
"13","Data: Water Quality","3210",""
"12.8","Data: Water Quality","3210","1"
"","Data: Water Quality","3210","2"
"","Data: Water Quality","3210","3"
"16.2","Data: Water Quality","3211",""
"19.3","Data: Water Quality","3211","1"
"","Data: Water Quality","3211","2"
"","Data: Water Quality","3211","3"
"55","Data: Water Quality","3249",""
"","Data: Water Quality","3249","1"
"","Data: Water Quality","3249","2"
"","Data: Water Quality","3249","3"
"57","Data: Water Quality","3254",""
"","Data: Water Quality","3254","1"
"","Data: Water Quality","3254","2"
"","Data: Water Quality","3254","3"
"70","Data: Water Quality","3256",""
"","Data: Water Quality","3256","1"
"","Data: Water Quality","3256","2"
"","Data: Water Quality","3256","3"
"54.6","Data: Water Quality","3259",""
"56.1","Data: Water Quality","3259","1"
"58","Data: Water Quality","3259","2"
"","Data: Water Quality","3259","3"
"74","Data: Water Quality","3260",""
"","Data: Water Quality","3260","1"
"","Data: Water Quality","3260","2"
"","Data: Water Quality","3260","3"
"60","Data: Water Quality","3262",""
"","Data: Water Quality","3262","1"
"","Data: Water Quality","3262","2"
"","Data: Water Quality","3262","3"
"42","Data: Water Quality","3305",""
"43","Data: Water Quality","3305","1"
