"Turbidity (NTU)","Type","Nid","Delta"
"65","Data: Water Quality","6497","2"
"6","Data: Water Quality","6497","3"
"137.5","Data: Water Quality","6510",""
"121","Data: Water Quality","6510","1"
"36.6","Data: Water Quality","6510","2"
"","Data: Water Quality","6510","3"
"","Data: Water Quality","6512",""
"0.6","Data: Water Quality","6512","1"
"","Data: Water Quality","6512","2"
"","Data: Water Quality","6512","3"
"20.3","Data: Water Quality","6514",""
"","Data: Water Quality","6514","1"
"","Data: Water Quality","6514","2"
"","Data: Water Quality","6514","3"
"","Data: Water Quality","6515",""
"","Data: Water Quality","6515","1"
"","Data: Water Quality","6515","2"
"","Data: Water Quality","6515","3"
"12.6","Data: Water Quality","6516",""
"","Data: Water Quality","6516","1"
"","Data: Water Quality","6516","2"
"","Data: Water Quality","6516","3"
"25.2","Data: Water Quality","6517",""
"23.2","Data: Water Quality","6517","1"
"22.2","Data: Water Quality","6517","2"
"56.5","Data: Water Quality","6517","3"
"32.3","Data: Water Quality","6518",""
"-5.2","Data: Water Quality","6518","1"
"-5.7","Data: Water Quality","6518","2"
"","Data: Water Quality","6518","3"
"32","Data: Water Quality","6520",""
"","Data: Water Quality","6520","1"
"","Data: Water Quality","6520","2"
"","Data: Water Quality","6520","3"
"1.8","Data: Water Quality","6531",""
"2.9","Data: Water Quality","6531","1"
"3.3","Data: Water Quality","6531","2"
"","Data: Water Quality","6531","3"
"","Data: Water Quality","6532",""
"","Data: Water Quality","6532","1"
"","Data: Water Quality","6532","2"
"","Data: Water Quality","6532","3"
"10.5","Data: Water Quality","6534",""
"","Data: Water Quality","6534","1"
"","Data: Water Quality","6534","2"
"","Data: Water Quality","6534","3"
"","Data: Water Quality","6535",""
"","Data: Water Quality","6535","1"
"","Data: Water Quality","6535","2"
"","Data: Water Quality","6535","3"
"10","Data: Water Quality","6537",""
"","Data: Water Quality","6537","1"
"","Data: Water Quality","6537","2"
"","Data: Water Quality","6537","3"
"50","Data: Water Quality","6538",""
"","Data: Water Quality","6538","1"
"","Data: Water Quality","6538","2"
"","Data: Water Quality","6538","3"
"","Data: Water Quality","6540",""
"","Data: Water Quality","6540","1"
"","Data: Water Quality","6540","2"
"","Data: Water Quality","6540","3"
"","Data: Water Quality","6542",""
"","Data: Water Quality","6542","1"
"","Data: Water Quality","6542","2"
"","Data: Water Quality","6542","3"
"5.7","Data: Water Quality","6544",""
"","Data: Water Quality","6544","1"
"","Data: Water Quality","6544","2"
"","Data: Water Quality","6544","3"
"20","Data: Water Quality","6545",""
"","Data: Water Quality","6545","1"
"","Data: Water Quality","6545","2"
"","Data: Water Quality","6545","3"
"20","Data: Water Quality","6576",""
"","Data: Water Quality","6576","1"
"8","Data: Water Quality","6576","2"
"","Data: Water Quality","6576","3"
"","Data: Water Quality","6578",""
"","Data: Water Quality","6578","1"
"","Data: Water Quality","6578","2"
"","Data: Water Quality","6578","3"
"","Data: Water Quality","6604",""
"","Data: Water Quality","6604","1"
"","Data: Water Quality","6604","2"
"","Data: Water Quality","6604","3"
"","Data: Water Quality","6606",""
"10","Data: Water Quality","6606","1"
"1","Data: Water Quality","6606","2"
"","Data: Water Quality","6606","3"
"10","Data: Water Quality","6628",""
"10","Data: Water Quality","6628","1"
"","Data: Water Quality","6628","2"
"","Data: Water Quality","6628","3"
"","Data: Water Quality","6643",""
"","Data: Water Quality","6643","1"
"","Data: Water Quality","6643","2"
"","Data: Water Quality","6643","3"
"66","Data: Water Quality","6675",""
"67","Data: Water Quality","6675","1"
"68","Data: Water Quality","6675","2"
"","Data: Water Quality","6675","3"
"60","Data: Water Quality","6741",""
"60","Data: Water Quality","6741","1"
"","Data: Water Quality","6741","2"
"","Data: Water Quality","6741","3"
"60","Data: Water Quality","6751",""
"","Data: Water Quality","6751","1"
"","Data: Water Quality","6751","2"
"","Data: Water Quality","6751","3"
"10","Data: Water Quality","6761",""
"","Data: Water Quality","6761","1"
"","Data: Water Quality","6761","2"
"","Data: Water Quality","6761","3"
"60","Data: Water Quality","7096",""
"19","Data: Water Quality","7096","1"
"6","Data: Water Quality","7096","2"
"6","Data: Water Quality","7096","3"
"8","Data: Water Quality","7101",""
"30","Data: Water Quality","7101","1"
"13","Data: Water Quality","7101","2"
"15","Data: Water Quality","7101","3"
"8","Data: Water Quality","7106",""
"30","Data: Water Quality","7106","1"
"13","Data: Water Quality","7106","2"
"15","Data: Water Quality","7106","3"
"11","Data: Water Quality","7111",""
"13","Data: Water Quality","7111","1"
"6","Data: Water Quality","7111","2"
"","Data: Water Quality","7111","3"
"240","Data: Water Quality","7116",""
"21","Data: Water Quality","7116","1"
"6","Data: Water Quality","7116","2"
"50","Data: Water Quality","7116","3"
"11","Data: Water Quality","7121",""
"6","Data: Water Quality","7121","1"
"13","Data: Water Quality","7121","2"
"6","Data: Water Quality","7121","3"
"15","Data: Water Quality","7126",""
"","Data: Water Quality","7126","1"
"","Data: Water Quality","7126","2"
"","Data: Water Quality","7126","3"
"6","Data: Water Quality","7131",""
"30","Data: Water Quality","7131","1"
"","Data: Water Quality","7131","2"
"","Data: Water Quality","7131","3"
"35","Data: Water Quality","7136",""
"6","Data: Water Quality","7136","1"
"111","Data: Water Quality","7136","2"
"","Data: Water Quality","7136","3"
"11","Data: Water Quality","7141",""
"90","Data: Water Quality","7141","1"
"","Data: Water Quality","7141","2"
"","Data: Water Quality","7141","3"
"15","Data: Water Quality","7146",""
"30","Data: Water Quality","7146","1"
"24","Data: Water Quality","7146","2"
"27","Data: Water Quality","7146","3"
"6","Data: Water Quality","7151",""
"30","Data: Water Quality","7151","1"
"6","Data: Water Quality","7151","2"
"6","Data: Water Quality","7151","3"
"6","Data: Water Quality","7156",""
"11","Data: Water Quality","7156","1"
"90","Data: Water Quality","7156","2"
"40","Data: Water Quality","7156","3"
"13","Data: Water Quality","7161",""
"24","Data: Water Quality","7161","1"
"9","Data: Water Quality","7161","2"
"27","Data: Water Quality","7161","3"
"6","Data: Water Quality","7166",""
"6","Data: Water Quality","7166","1"
"6.5","Data: Water Quality","7166","2"
"6","Data: Water Quality","7166","3"
"10","Data: Water Quality","7171",""
"","Data: Water Quality","7171","1"
"","Data: Water Quality","7171","2"
"","Data: Water Quality","7171","3"
"40","Data: Water Quality","7211",""
"","Data: Water Quality","7211","1"
"","Data: Water Quality","7211","2"
"","Data: Water Quality","7211","3"
"","Data: Water Quality","7231",""
"","Data: Water Quality","7231","1"
"","Data: Water Quality","7231","2"
"","Data: Water Quality","7231","3"
"26.5","Data: Water Quality","7261",""
"","Data: Water Quality","7261","1"
"","Data: Water Quality","7261","2"
"","Data: Water Quality","7261","3"
"1.5","Data: Water Quality","7291",""
"10","Data: Water Quality","7291","1"
"","Data: Water Quality","7291","2"
"","Data: Water Quality","7291","3"
"10","Data: Water Quality","7326",""
"","Data: Water Quality","7326","1"
"","Data: Water Quality","7326","2"
"","Data: Water Quality","7326","3"
"15","Data: Water Quality","7486",""
"","Data: Water Quality","7486","1"
"","Data: Water Quality","7486","2"
"","Data: Water Quality","7486","3"
"10","Data: Water Quality","7491",""
"","Data: Water Quality","7491","1"
"","Data: Water Quality","7491","2"
"","Data: Water Quality","7491","3"
"","Data: Water Quality","7496",""
"","Data: Water Quality","7496","1"
"","Data: Water Quality","7496","2"
"","Data: Water Quality","7496","3"
"","Data: Water Quality","7501",""
"","Data: Water Quality","7501","1"
"","Data: Water Quality","7501","2"
"","Data: Water Quality","7501","3"
"5","Data: Water Quality","7506",""
"","Data: Water Quality","7506","1"
"","Data: Water Quality","7506","2"
"","Data: Water Quality","7506","3"
"","Data: Water Quality","7511",""
"","Data: Water Quality","7511","1"
"","Data: Water Quality","7511","2"
"","Data: Water Quality","7511","3"
"10","Data: Water Quality","7516",""
"","Data: Water Quality","7516","1"
"","Data: Water Quality","7516","2"
"","Data: Water Quality","7516","3"
"5","Data: Water Quality","7521",""
"","Data: Water Quality","7521","1"
"","Data: Water Quality","7521","2"
"","Data: Water Quality","7521","3"
"10","Data: Water Quality","7536",""
"","Data: Water Quality","7536","1"
"","Data: Water Quality","7536","2"
"","Data: Water Quality","7536","3"
"10","Data: Water Quality","7541",""
"","Data: Water Quality","7541","1"
"","Data: Water Quality","7541","2"
"","Data: Water Quality","7541","3"
"18","Data: Water Quality","7561",""
"","Data: Water Quality","7561","1"
"","Data: Water Quality","7561","2"
"","Data: Water Quality","7561","3"
"9.75","Data: Water Quality","7611",""
"7.24","Data: Water Quality","7611","1"
"","Data: Water Quality","7611","2"
"","Data: Water Quality","7611","3"
"","Data: Water Quality","7681",""
"","Data: Water Quality","7681","1"
"","Data: Water Quality","7681","2"
"","Data: Water Quality","7681","3"
"","Data: Water Quality","7686",""
"","Data: Water Quality","7686","1"
"","Data: Water Quality","7686","2"
"","Data: Water Quality","7686","3"
"","Data: Water Quality","7706",""
"","Data: Water Quality","7706","1"
"","Data: Water Quality","7706","2"
"","Data: Water Quality","7706","3"
"","Data: Water Quality","7726",""
"","Data: Water Quality","7726","1"
"","Data: Water Quality","7726","2"
"","Data: Water Quality","7726","3"
"30.4","Data: Water Quality","8051",""
"","Data: Water Quality","8051","1"
"","Data: Water Quality","8051","2"
"","Data: Water Quality","8051","3"
"63.7","Data: Water Quality","8056",""
"","Data: Water Quality","8056","1"
"","Data: Water Quality","8056","2"
"","Data: Water Quality","8056","3"
"","Data: Water Quality","8061",""
"","Data: Water Quality","8061","1"
"","Data: Water Quality","8061","2"
"","Data: Water Quality","8061","3"
"43.1","Data: Water Quality","8066",""
"","Data: Water Quality","8066","1"
"","Data: Water Quality","8066","2"
"","Data: Water Quality","8066","3"
"49","Data: Water Quality","8071",""
"","Data: Water Quality","8071","1"
"","Data: Water Quality","8071","2"
"","Data: Water Quality","8071","3"
"59.3","Data: Water Quality","8081",""
"","Data: Water Quality","8081","1"
"","Data: Water Quality","8081","2"
"","Data: Water Quality","8081","3"
"5","Data: Water Quality","8151",""
"","Data: Water Quality","8151","1"
"","Data: Water Quality","8151","2"
"","Data: Water Quality","8151","3"
"38","Data: Water Quality","8171",""
"42","Data: Water Quality","8171","1"
"48","Data: Water Quality","8171","2"
"40","Data: Water Quality","8171","3"
"30","Data: Water Quality","8176",""
"35","Data: Water Quality","8176","1"
"32","Data: Water Quality","8176","2"
"30","Data: Water Quality","8176","3"
"28","Data: Water Quality","8181",""
"30","Data: Water Quality","8181","1"
"30","Data: Water Quality","8181","2"
"29","Data: Water Quality","8181","3"
"40","Data: Water Quality","8186",""
"45","Data: Water Quality","8186","1"
"42","Data: Water Quality","8186","2"
"45","Data: Water Quality","8186","3"
"20","Data: Water Quality","8191",""
"25","Data: Water Quality","8191","1"
"22","Data: Water Quality","8191","2"
"25","Data: Water Quality","8191","3"
"25","Data: Water Quality","8196",""
"25","Data: Water Quality","8196","1"
"25","Data: Water Quality","8196","2"
"27","Data: Water Quality","8196","3"
"30","Data: Water Quality","8201",""
"30","Data: Water Quality","8201","1"
"32","Data: Water Quality","8201","2"
"32","Data: Water Quality","8201","3"
"28","Data: Water Quality","8206",""
"27","Data: Water Quality","8206","1"
"27","Data: Water Quality","8206","2"
"27","Data: Water Quality","8206","3"
"20","Data: Water Quality","8211",""
"22","Data: Water Quality","8211","1"
"22","Data: Water Quality","8211","2"
"21","Data: Water Quality","8211","3"
"28","Data: Water Quality","8216",""
"25","Data: Water Quality","8216","1"
"27","Data: Water Quality","8216","2"
"27","Data: Water Quality","8216","3"
"30","Data: Water Quality","8221",""
"30","Data: Water Quality","8221","1"
"29","Data: Water Quality","8221","2"
"30","Data: Water Quality","8221","3"
"40","Data: Water Quality","8226",""
"38","Data: Water Quality","8226","1"
"39","Data: Water Quality","8226","2"
"40","Data: Water Quality","8226","3"
"10","Data: Water Quality","8236",""
"10","Data: Water Quality","8236","1"
"10","Data: Water Quality","8236","2"
"10","Data: Water Quality","8236","3"
"10","Data: Water Quality","8241",""
"11","Data: Water Quality","8241","1"
"10","Data: Water Quality","8241","2"
"10","Data: Water Quality","8241","3"
"18","Data: Water Quality","8246",""
"17","Data: Water Quality","8246","1"
"18","Data: Water Quality","8246","2"
"18","Data: Water Quality","8246","3"
"12","Data: Water Quality","8251",""
"12","Data: Water Quality","8251","1"
"12","Data: Water Quality","8251","2"
"14","Data: Water Quality","8251","3"
"10","Data: Water Quality","8256",""
"10","Data: Water Quality","8256","1"
"12","Data: Water Quality","8256","2"
"11","Data: Water Quality","8256","3"
"17","Data: Water Quality","8261",""
"17","Data: Water Quality","8261","1"
"17","Data: Water Quality","8261","2"
"18","Data: Water Quality","8261","3"
"12","Data: Water Quality","8266",""
"12","Data: Water Quality","8266","1"
"13","Data: Water Quality","8266","2"
"12","Data: Water Quality","8266","3"
"13","Data: Water Quality","8271",""
"13","Data: Water Quality","8271","1"
"14","Data: Water Quality","8271","2"
"13","Data: Water Quality","8271","3"
"10","Data: Water Quality","8276",""
"10","Data: Water Quality","8276","1"
"10","Data: Water Quality","8276","2"
"10","Data: Water Quality","8276","3"
"10","Data: Water Quality","8281",""
"10","Data: Water Quality","8281","1"
"10","Data: Water Quality","8281","2"
"11","Data: Water Quality","8281","3"
"10","Data: Water Quality","8286",""
"10","Data: Water Quality","8286","1"
"10","Data: Water Quality","8286","2"
"10","Data: Water Quality","8286","3"
"20","Data: Water Quality","8291",""
"20","Data: Water Quality","8291","1"
"20","Data: Water Quality","8291","2"
"20","Data: Water Quality","8291","3"
"6","Data: Water Quality","8526",""
"6","Data: Water Quality","8526","1"
"","Data: Water Quality","8526","2"
"","Data: Water Quality","8526","3"
"6","Data: Water Quality","8536",""
"","Data: Water Quality","8536","1"
"","Data: Water Quality","8536","2"
"","Data: Water Quality","8536","3"
"6","Data: Water Quality","8546",""
"","Data: Water Quality","8546","1"
"","Data: Water Quality","8546","2"
"","Data: Water Quality","8546","3"
"6","Data: Water Quality","8561",""
"6","Data: Water Quality","8561","1"
"6","Data: Water Quality","8561","2"
"6","Data: Water Quality","8561","3"
"6","Data: Water Quality","8566",""
"","Data: Water Quality","8566","1"
"","Data: Water Quality","8566","2"
"","Data: Water Quality","8566","3"
"6","Data: Water Quality","8571",""
"","Data: Water Quality","8571","1"
"","Data: Water Quality","8571","2"
"","Data: Water Quality","8571","3"
"6","Data: Water Quality","8576",""
"8.5","Data: Water Quality","8576","1"
"","Data: Water Quality","8576","2"
"","Data: Water Quality","8576","3"
"6","Data: Water Quality","8591",""
"","Data: Water Quality","8591","1"
"","Data: Water Quality","8591","2"
"","Data: Water Quality","8591","3"
"","Data: Water Quality","8601",""
"","Data: Water Quality","8601","1"
"","Data: Water Quality","8601","2"
"","Data: Water Quality","8601","3"
"","Data: Water Quality","8616",""
"","Data: Water Quality","8616","1"
"","Data: Water Quality","8616","2"
"","Data: Water Quality","8616","3"
"6","Data: Water Quality","8626",""
"","Data: Water Quality","8626","1"
"","Data: Water Quality","8626","2"
"","Data: Water Quality","8626","3"
"","Data: Water Quality","8641",""
"","Data: Water Quality","8641","1"
"","Data: Water Quality","8641","2"
"","Data: Water Quality","8641","3"
"6","Data: Water Quality","8651",""
"","Data: Water Quality","8651","1"
"","Data: Water Quality","8651","2"
"","Data: Water Quality","8651","3"
"6","Data: Water Quality","8656",""
"","Data: Water Quality","8656","1"
"","Data: Water Quality","8656","2"
"","Data: Water Quality","8656","3"
"6","Data: Water Quality","8661",""
"","Data: Water Quality","8661","1"
"","Data: Water Quality","8661","2"
"","Data: Water Quality","8661","3"
"6","Data: Water Quality","8671",""
"","Data: Water Quality","8671","1"
"","Data: Water Quality","8671","2"
"","Data: Water Quality","8671","3"
"6","Data: Water Quality","8681",""
"6","Data: Water Quality","8681","1"
"","Data: Water Quality","8681","2"
"","Data: Water Quality","8681","3"
"53","Data: Water Quality","8746",""
"48","Data: Water Quality","8746","1"
"","Data: Water Quality","8746","2"
"","Data: Water Quality","8746","3"
"48","Data: Water Quality","8751",""
"50","Data: Water Quality","8751","1"
"55","Data: Water Quality","8751","2"
"54","Data: Water Quality","8751","3"
"","Data: Water Quality","8756",""
"","Data: Water Quality","8756","1"
"","Data: Water Quality","8756","2"
"","Data: Water Quality","8756","3"
"60","Data: Water Quality","8761",""
"60","Data: Water Quality","8761","1"
"60","Data: Water Quality","8761","2"
"","Data: Water Quality","8761","3"
"","Data: Water Quality","8766",""
"","Data: Water Quality","8766","1"
"","Data: Water Quality","8766","2"
"","Data: Water Quality","8766","3"
"","Data: Water Quality","8771",""
"","Data: Water Quality","8771","1"
"45","Data: Water Quality","8771","2"
"","Data: Water Quality","8771","3"
"50","Data: Water Quality","8776",""
"60","Data: Water Quality","8776","1"
"","Data: Water Quality","8776","2"
"","Data: Water Quality","8776","3"
"39","Data: Water Quality","8781",""
"","Data: Water Quality","8781","1"
"","Data: Water Quality","8781","2"
"","Data: Water Quality","8781","3"
"60","Data: Water Quality","8786",""
"","Data: Water Quality","8786","1"
"","Data: Water Quality","8786","2"
"","Data: Water Quality","8786","3"
"54","Data: Water Quality","8791",""
"60","Data: Water Quality","8791","1"
"59","Data: Water Quality","8791","2"
"51","Data: Water Quality","8791","3"
"54","Data: Water Quality","8796",""
"55","Data: Water Quality","8796","1"
"50","Data: Water Quality","8796","2"
"57","Data: Water Quality","8796","3"
"24","Data: Water Quality","8801",""
"49","Data: Water Quality","8801","1"
"57","Data: Water Quality","8801","2"
"","Data: Water Quality","8801","3"
"52","Data: Water Quality","8806",""
"53","Data: Water Quality","8806","1"
"45","Data: Water Quality","8806","2"
"","Data: Water Quality","8806","3"
"58.5","Data: Water Quality","8811",""
"60","Data: Water Quality","8811","1"
"60","Data: Water Quality","8811","2"
"","Data: Water Quality","8811","3"
"47.5","Data: Water Quality","8816",""
"55.5","Data: Water Quality","8816","1"
"61","Data: Water Quality","8816","2"
"55","Data: Water Quality","8816","3"
"59","Data: Water Quality","8821",""
"56","Data: Water Quality","8821","1"
"","Data: Water Quality","8821","2"
"","Data: Water Quality","8821","3"
"60","Data: Water Quality","8946",""
"60","Data: Water Quality","8946","1"
"60","Data: Water Quality","8946","2"
"60","Data: Water Quality","8946","3"
"60","Data: Water Quality","8951",""
"60","Data: Water Quality","8951","1"
"60","Data: Water Quality","8951","2"
"60","Data: Water Quality","8951","3"
"60","Data: Water Quality","8956",""
"60","Data: Water Quality","8956","1"
"60","Data: Water Quality","8956","2"
"60","Data: Water Quality","8956","3"
"60","Data: Water Quality","8961",""
"60","Data: Water Quality","8961","1"
"60","Data: Water Quality","8961","2"
"","Data: Water Quality","8961","3"
"60","Data: Water Quality","8966",""
"60","Data: Water Quality","8966","1"
"60","Data: Water Quality","8966","2"
"","Data: Water Quality","8966","3"
"4.5","Data: Water Quality","8981",""
"","Data: Water Quality","8981","1"
"","Data: Water Quality","8981","2"
"","Data: Water Quality","8981","3"
"1.2","Data: Water Quality","8996",""
"","Data: Water Quality","8996","1"
"","Data: Water Quality","8996","2"
"","Data: Water Quality","8996","3"
"14.4","Data: Water Quality","9071",""
"","Data: Water Quality","9071","1"
"","Data: Water Quality","9071","2"
"","Data: Water Quality","9071","3"
"3.1","Data: Water Quality","9081",""
"6.6","Data: Water Quality","9081","1"
"","Data: Water Quality","9081","2"
"4","Data: Water Quality","9081","3"
"","Data: Water Quality","9156",""
"","Data: Water Quality","9156","1"
"","Data: Water Quality","9156","2"
"","Data: Water Quality","9156","3"
"","Data: Water Quality","9176",""
"","Data: Water Quality","9176","1"
"","Data: Water Quality","9176","2"
"","Data: Water Quality","9176","3"
"4.52","Data: Water Quality","9621",""
"","Data: Water Quality","9621","1"
"","Data: Water Quality","9621","2"
"","Data: Water Quality","9621","3"
"3","Data: Water Quality","9701",""
"1","Data: Water Quality","9701","1"
"","Data: Water Quality","9701","2"
"","Data: Water Quality","9701","3"
"2.43","Data: Water Quality","9881",""
"","Data: Water Quality","9881","1"
"","Data: Water Quality","9881","2"
"","Data: Water Quality","9881","3"
"","Data: Water Quality","9896",""
"","Data: Water Quality","9896","1"
"","Data: Water Quality","9896","2"
"","Data: Water Quality","9896","3"
"","Data: Water Quality","9901",""
"","Data: Water Quality","9901","1"
"","Data: Water Quality","9901","2"
"","Data: Water Quality","9901","3"
"4","Data: Water Quality","9906",""
"","Data: Water Quality","9906","1"
"","Data: Water Quality","9906","2"
"","Data: Water Quality","9906","3"
"3.5","Data: Water Quality","9911",""
"","Data: Water Quality","9911","1"
"","Data: Water Quality","9911","2"
"","Data: Water Quality","9911","3"
"5.7","Data: Water Quality","9921",""
"","Data: Water Quality","9921","1"
"","Data: Water Quality","9921","2"
"","Data: Water Quality","9921","3"
"","Data: Water Quality","9926",""
"","Data: Water Quality","9926","1"
"","Data: Water Quality","9926","2"
"","Data: Water Quality","9926","3"
"6","Data: Water Quality","9936",""
"","Data: Water Quality","9936","1"
"","Data: Water Quality","9936","2"
"","Data: Water Quality","9936","3"
"13","Data: Water Quality","9951",""
"","Data: Water Quality","9951","1"
"","Data: Water Quality","9951","2"
"","Data: Water Quality","9951","3"
"13","Data: Water Quality","9956",""
"","Data: Water Quality","9956","1"
"","Data: Water Quality","9956","2"
"","Data: Water Quality","9956","3"
"53","Data: Water Quality","9961",""
"","Data: Water Quality","9961","1"
"","Data: Water Quality","9961","2"
"","Data: Water Quality","9961","3"
"4","Data: Water Quality","9966",""
"","Data: Water Quality","9966","1"
"","Data: Water Quality","9966","2"
"","Data: Water Quality","9966","3"
"","Data: Water Quality","9971",""
"","Data: Water Quality","9971","1"
"","Data: Water Quality","9971","2"
"","Data: Water Quality","9971","3"
"","Data: Water Quality","9986",""
"","Data: Water Quality","9986","1"
"","Data: Water Quality","9986","2"
"","Data: Water Quality","9986","3"
"","Data: Water Quality","9991",""
"","Data: Water Quality","9991","1"
"","Data: Water Quality","9991","2"
"","Data: Water Quality","9991","3"
"","Data: Water Quality","9996",""
"","Data: Water Quality","9996","1"
"","Data: Water Quality","9996","2"
"","Data: Water Quality","9996","3"
"45","Data: Water Quality","10026",""
"49","Data: Water Quality","10026","1"
"","Data: Water Quality","10026","2"
"","Data: Water Quality","10026","3"
"47","Data: Water Quality","10031",""
"47","Data: Water Quality","10031","1"
"47","Data: Water Quality","10031","2"
"47","Data: Water Quality","10031","3"
"48","Data: Water Quality","10036",""
"48","Data: Water Quality","10036","1"
"54","Data: Water Quality","10036","2"
"","Data: Water Quality","10036","3"
"36","Data: Water Quality","10041",""
"35","Data: Water Quality","10041","1"
"27","Data: Water Quality","10041","2"
"37","Data: Water Quality","10041","3"
"8","Data: Water Quality","10046",""
"8","Data: Water Quality","10046","1"
"8","Data: Water Quality","10046","2"
"6","Data: Water Quality","10046","3"
"7","Data: Water Quality","10051",""
"11.5","Data: Water Quality","10051","1"
"4","Data: Water Quality","10051","2"
"6","Data: Water Quality","10051","3"
"9","Data: Water Quality","10056",""
"6","Data: Water Quality","10056","1"
"6","Data: Water Quality","10056","2"
"6","Data: Water Quality","10056","3"
"6","Data: Water Quality","10061",""
"6","Data: Water Quality","10061","1"
"6","Data: Water Quality","10061","2"
"6","Data: Water Quality","10061","3"
"6","Data: Water Quality","10066",""
"6","Data: Water Quality","10066","1"
"6","Data: Water Quality","10066","2"
"","Data: Water Quality","10066","3"
"9","Data: Water Quality","10071",""
"8","Data: Water Quality","10071","1"
"9","Data: Water Quality","10071","2"
"9","Data: Water Quality","10071","3"
"60","Data: Water Quality","10076",""
"53","Data: Water Quality","10076","1"
"29","Data: Water Quality","10076","2"
"60","Data: Water Quality","10076","3"
"","Data: Water Quality","10201",""
"2","Data: Water Quality","10201","1"
"","Data: Water Quality","10201","2"
"","Data: Water Quality","10201","3"
"","Data: Water Quality","10206",""
"","Data: Water Quality","10206","1"
"","Data: Water Quality","10206","2"
"","Data: Water Quality","10206","3"
"","Data: Water Quality","10211",""
"","Data: Water Quality","10211","1"
"","Data: Water Quality","10211","2"
"","Data: Water Quality","10211","3"
"","Data: Water Quality","10216",""
"","Data: Water Quality","10216","1"
"","Data: Water Quality","10216","2"
"","Data: Water Quality","10216","3"
"","Data: Water Quality","10231",""
"","Data: Water Quality","10231","1"
"","Data: Water Quality","10231","2"
"4.2","Data: Water Quality","10231","3"
"","Data: Water Quality","10236",""
"3","Data: Water Quality","10236","1"
"","Data: Water Quality","10236","2"
"","Data: Water Quality","10236","3"
"46.8","Data: Water Quality","10291",""
"69.6","Data: Water Quality","10291","1"
"80.5","Data: Water Quality","10291","2"
"55.6","Data: Water Quality","10291","3"
"46.8","Data: Water Quality","10311",""
"89.6","Data: Water Quality","10311","1"
"80.5","Data: Water Quality","10311","2"
"55.6","Data: Water Quality","10311","3"
"46.8","Data: Water Quality","10316",""
"69.6","Data: Water Quality","10316","1"
"55.6","Data: Water Quality","10316","2"
"","Data: Water Quality","10316","3"
"46.8","Data: Water Quality","10321",""
"69.6","Data: Water Quality","10321","1"
"80.5","Data: Water Quality","10321","2"
"55.6","Data: Water Quality","10321","3"
"46.8","Data: Water Quality","10336",""
"69.6","Data: Water Quality","10336","1"
"80.5","Data: Water Quality","10336","2"
"55.6","Data: Water Quality","10336","3"
"46.8","Data: Water Quality","10371",""
"69.6","Data: Water Quality","10371","1"
"80.5","Data: Water Quality","10371","2"
"55.6","Data: Water Quality","10371","3"
"46.8","Data: Water Quality","10376",""
"69.6","Data: Water Quality","10376","1"
"80.5","Data: Water Quality","10376","2"
"55.6","Data: Water Quality","10376","3"
"46.8","Data: Water Quality","10391",""
"69.6","Data: Water Quality","10391","1"
"80.5","Data: Water Quality","10391","2"
"55.6","Data: Water Quality","10391","3"
"46.8","Data: Water Quality","10406",""
"69.6","Data: Water Quality","10406","1"
"80.5","Data: Water Quality","10406","2"
"55.6","Data: Water Quality","10406","3"
"46.8","Data: Water Quality","10416",""
"69.6","Data: Water Quality","10416","1"
"80.5","Data: Water Quality","10416","2"
"55.6","Data: Water Quality","10416","3"
"46.8","Data: Water Quality","10421",""
"69.6","Data: Water Quality","10421","1"
"80.5","Data: Water Quality","10421","2"
"55.6","Data: Water Quality","10421","3"
"-34.4","Data: Water Quality","10426",""
"-37","Data: Water Quality","10426","1"
"29","Data: Water Quality","10426","2"
"","Data: Water Quality","10426","3"
"-34.4","Data: Water Quality","10431",""
"-37","Data: Water Quality","10431","1"
"29","Data: Water Quality","10431","2"
"","Data: Water Quality","10431","3"
"-34.4","Data: Water Quality","10436",""
"-37","Data: Water Quality","10436","1"
"29","Data: Water Quality","10436","2"
"","Data: Water Quality","10436","3"
"-34.4","Data: Water Quality","10441",""
"-37","Data: Water Quality","10441","1"
"29","Data: Water Quality","10441","2"
"","Data: Water Quality","10441","3"
"46.8","Data: Water Quality","10456",""
"69.6","Data: Water Quality","10456","1"
"80.5","Data: Water Quality","10456","2"
"55.6","Data: Water Quality","10456","3"
"46.8","Data: Water Quality","10476",""
"69.6","Data: Water Quality","10476","1"
"80.5","Data: Water Quality","10476","2"
"55.6","Data: Water Quality","10476","3"
"46.8","Data: Water Quality","10481",""
"69.6","Data: Water Quality","10481","1"
"80.5","Data: Water Quality","10481","2"
"55.6","Data: Water Quality","10481","3"
"72.5","Data: Water Quality","10491",""
"84","Data: Water Quality","10491","1"
"38.9","Data: Water Quality","10491","2"
"28.3","Data: Water Quality","10491","3"
"46.8","Data: Water Quality","10516",""
"69.6","Data: Water Quality","10516","1"
"80.5","Data: Water Quality","10516","2"
"55.6","Data: Water Quality","10516","3"
"11.4","Data: Water Quality","10521",""
"18.3","Data: Water Quality","10521","1"
"14","Data: Water Quality","10521","2"
"19.3","Data: Water Quality","10521","3"
"34.4","Data: Water Quality","10536",""
"37","Data: Water Quality","10536","1"
"29","Data: Water Quality","10536","2"
"","Data: Water Quality","10536","3"
"34.4","Data: Water Quality","10551",""
"37","Data: Water Quality","10551","1"
"29","Data: Water Quality","10551","2"
"","Data: Water Quality","10551","3"
