"Turbidity (NTU)","Type","Nid","Delta"
"1.1","Data: Water Quality","2908","1"
"6.42","Data: Water Quality","2908","2"
"","Data: Water Quality","2908","3"
"","Data: Water Quality","2909",""
"","Data: Water Quality","2909","1"
"","Data: Water Quality","2909","2"
"","Data: Water Quality","2909","3"
"0.03","Data: Water Quality","2925",""
"0.09","Data: Water Quality","2925","1"
"0.09","Data: Water Quality","2925","2"
"0.078","Data: Water Quality","2925","3"
"","Data: Water Quality","2935",""
"","Data: Water Quality","2935","1"
"","Data: Water Quality","2935","2"
"","Data: Water Quality","2935","3"
"","Data: Water Quality","2939",""
"","Data: Water Quality","2939","1"
"","Data: Water Quality","2939","2"
"","Data: Water Quality","2939","3"
"20","Data: Water Quality","2940",""
"","Data: Water Quality","2940","1"
"","Data: Water Quality","2940","2"
"","Data: Water Quality","2940","3"
"20","Data: Water Quality","2944",""
"","Data: Water Quality","2944","1"
"","Data: Water Quality","2944","2"
"","Data: Water Quality","2944","3"
"20","Data: Water Quality","2945",""
"","Data: Water Quality","2945","1"
"","Data: Water Quality","2945","2"
"","Data: Water Quality","2945","3"
"10","Data: Water Quality","2957",""
"25","Data: Water Quality","2957","1"
"18","Data: Water Quality","2957","2"
"","Data: Water Quality","2957","3"
"10","Data: Water Quality","2959",""
"20","Data: Water Quality","2959","1"
"15","Data: Water Quality","2959","2"
"","Data: Water Quality","2959","3"
"","Data: Water Quality","2960",""
"","Data: Water Quality","2960","1"
"","Data: Water Quality","2960","2"
"","Data: Water Quality","2960","3"
"20","Data: Water Quality","2961",""
"","Data: Water Quality","2961","1"
"","Data: Water Quality","2961","2"
"","Data: Water Quality","2961","3"
"","Data: Water Quality","2962",""
"","Data: Water Quality","2962","1"
"","Data: Water Quality","2962","2"
"","Data: Water Quality","2962","3"
"5","Data: Water Quality","2963",""
"","Data: Water Quality","2963","1"
"","Data: Water Quality","2963","2"
"","Data: Water Quality","2963","3"
"20","Data: Water Quality","2965",""
"","Data: Water Quality","2965","1"
"","Data: Water Quality","2965","2"
"","Data: Water Quality","2965","3"
"40","Data: Water Quality","2966",""
"","Data: Water Quality","2966","1"
"","Data: Water Quality","2966","2"
"","Data: Water Quality","2966","3"
"20","Data: Water Quality","2967",""
"","Data: Water Quality","2967","1"
"","Data: Water Quality","2967","2"
"","Data: Water Quality","2967","3"
"10","Data: Water Quality","2970",""
"20","Data: Water Quality","2970","1"
"15","Data: Water Quality","2970","2"
"","Data: Water Quality","2970","3"
"20","Data: Water Quality","2979",""
"","Data: Water Quality","2979","1"
"","Data: Water Quality","2979","2"
"","Data: Water Quality","2979","3"
"","Data: Water Quality","2981",""
"","Data: Water Quality","2981","1"
"","Data: Water Quality","2981","2"
"","Data: Water Quality","2981","3"
"80","Data: Water Quality","2990",""
"","Data: Water Quality","2990","1"
"","Data: Water Quality","2990","2"
"","Data: Water Quality","2990","3"
"20","Data: Water Quality","2991",""
"","Data: Water Quality","2991","1"
"","Data: Water Quality","2991","2"
"","Data: Water Quality","2991","3"
"","Data: Water Quality","3017",""
"","Data: Water Quality","3017","1"
"","Data: Water Quality","3017","2"
"12","Data: Water Quality","3017","3"
"7","Data: Water Quality","3043",""
"1","Data: Water Quality","3043","1"
"2","Data: Water Quality","3043","2"
"5","Data: Water Quality","3043","3"
"","Data: Water Quality","3044",""
"","Data: Water Quality","3044","1"
"2","Data: Water Quality","3044","2"
"","Data: Water Quality","3044","3"
"3.2","Data: Water Quality","3045",""
"5","Data: Water Quality","3045","1"
"2","Data: Water Quality","3045","2"
"","Data: Water Quality","3045","3"
"60","Data: Water Quality","3057",""
"45","Data: Water Quality","3057","1"
"20","Data: Water Quality","3057","2"
"","Data: Water Quality","3057","3"
"5","Data: Water Quality","3063",""
"2.7","Data: Water Quality","3063","1"
"2.4","Data: Water Quality","3063","2"
"","Data: Water Quality","3063","3"
"","Data: Water Quality","3071",""
"","Data: Water Quality","3071","1"
"","Data: Water Quality","3071","2"
"","Data: Water Quality","3071","3"
"8.2","Data: Water Quality","3085",""
"7.3","Data: Water Quality","3085","1"
"6.6","Data: Water Quality","3085","2"
"6.6","Data: Water Quality","3085","3"
"0.8","Data: Water Quality","3087",""
"4.5","Data: Water Quality","3087","1"
"1.4","Data: Water Quality","3087","2"
"1.4","Data: Water Quality","3087","3"
"10","Data: Water Quality","3093",""
"10","Data: Water Quality","3093","1"
"10","Data: Water Quality","3093","2"
"10","Data: Water Quality","3093","3"
"14","Data: Water Quality","3129",""
"13","Data: Water Quality","3129","1"
"13","Data: Water Quality","3129","2"
"14","Data: Water Quality","3129","3"
"","Data: Water Quality","3143",""
"","Data: Water Quality","3143","1"
"","Data: Water Quality","3143","2"
"","Data: Water Quality","3143","3"
"47.6839","Data: Water Quality","3144",""
"44.542","Data: Water Quality","3144","1"
"56.63","Data: Water Quality","3144","2"
"","Data: Water Quality","3144","3"
"2","Data: Water Quality","3146",""
"2","Data: Water Quality","3146","1"
"2","Data: Water Quality","3146","2"
"2","Data: Water Quality","3146","3"
"17","Data: Water Quality","3210",""
"","Data: Water Quality","3210","1"
"","Data: Water Quality","3210","2"
"","Data: Water Quality","3210","3"
"17","Data: Water Quality","3211",""
"","Data: Water Quality","3211","1"
"","Data: Water Quality","3211","2"
"","Data: Water Quality","3211","3"
